0;19;0;0;0;0;0;0;0;0;
70;19;0;0;0;0;0;0;0;0;
1277;19;0;0;1500;1500;0;0;0;0;
1429;10.5;-8.5;0;0;1500;0;0;-8.5;0;
2835;10.5;-8.5;0;1500;3000;0;0;-8.5;0;
2969;10.96875;0;0;0;3000;-0.46875;0;-8.5;0;
4350;10.96875;0;0;1500;4500;-0.46875;0;-8.5;0;
4374;10.96875;0;0;0;4500;-0.46875;0;-8.5;0;
5863;10.96875;0;0;1500;6000;-0.46875;0;-8.5;0;
7371;10.96875;0;0;3000;7500;-0.46875;0;-8.5;0;
7394;11.109375;0.140625;0;0;7500;-0.46875;0;-8.359375;0;
7499;11.1796875;0;0;0;7500;-0.5390625;0;-8.359375;0;
8881;11.1796875;0;0;1500;9000;-0.5390625;0;-8.359375;0;
10391;11.1796875;0;0;3000;10500;-0.5390625;0;-8.359375;0;
10414;11.1796875;0;0;0;10500;-0.5390625;0;-8.359375;0;
11902;11.1796875;0;0;1500;12000;-0.5390625;0;-8.359375;0;
12026;11.2236328125;0;0;0;12000;-0.5830078125;0;-8.359375;0;
13411;11.2236328125;0;0;1500;13500;-0.5830078125;0;-8.359375;0;
13430;11.2236328125;0;0;0;13500;-0.5830078125;0;-8.359375;0;
14922;11.2236328125;0;0;1500;15000;-0.5830078125;0;-8.359375;0;
16436;11.2236328125;0;0;3000;16500;-0.5830078125;0;-8.359375;0;
16459;11.23681640625;0.01318359375;0;0;16500;-0.5830078125;0;-8.34619140625;0;
16557;11.243408203125;0;0;0;16500;-0.589599609375;0;-8.34619140625;0;
17948;11.243408203125;0;0;1500;18000;-0.589599609375;0;-8.34619140625;0;
19460;11.243408203125;0;0;3000;19500;-0.589599609375;0;-8.34619140625;0;
19495;11.243408203125;0;0;0;19500;-0.589599609375;0;-8.34619140625;0;
20971;11.243408203125;0;0;1500;21000;-0.589599609375;0;-8.34619140625;0;
21085;11.2467041015625;0;0;0;21000;-0.5928955078125;0;-8.34619140625;0;
22482;11.2467041015625;0;0;1500;22500;-0.5928955078125;0;-8.34619140625;0;
22523;11.247528076171875;0.000823974609375;0;0;22500;-0.5928955078125;0;-8.345367431640625;0;
